Plattformstubb som postgres
Bygget 23 migrasjoner som postgres (ikke superbruker)
B-02-lag 02_b02_lag.sql som postgres
B-02-lag 03_testdata.sql som postgres
PostgREST PostgREST 12.2.12 (cd3cf9e), db-pool = 1
Server: 17.11 (Homebrew)

OK   | Prosjekt A i kontekst | medlem av A og B ser bare A i hendelse
OK   | Prosjekt A i kontekst | spørring etter B i hendelse gir null rader
OK   | Prosjekt A i kontekst | spørring etter B i notat gir null rader
OK   | Prosjekt A i kontekst | spørring etter B i sak_metadata gir null rader
OK   | Prosjekt A i kontekst | ikke-medlem med A i konteksten ser ingen hendelser
OK   | Motpart | TE ser bare TEs notat
OK   | To team på samme side | BH-rådgiveren ser bare sitt eget notat
OK   | Ukjent team | team som ikke er prosjektets kontraktsteam gir null notater
OK   | Ukjent team | team fra prosjekt B med A i konteksten gir null notater
OK   | Ukjent team | TE-team oppgitt med side BH gir null notater (RB2-04)
OK   | Ukjent team | manglende team gir null notater
OK   | Leserolle (DB-05) | viewer leser journalen
OK   | Leserolle (DB-05) | viewer ser ingen private notater
OK   | Leserolle (DB-05) | viewer kan ikke sende varsel
OK   | Manglende kontekst | ingen krav: null rader i hendelse
OK   | Manglende kontekst | ingen krav: null rader i notat
OK   | Manglende kontekst | bare aktør: null rader i hendelse
OK   | Manglende kontekst | bare aktør: null rader i notat
OK   | Manglende kontekst | bare prosjekt: null rader i hendelse
OK   | Manglende kontekst | bare prosjekt: null rader i notat
OK   | RB2-04 kontekst | manglende side: null private notater
OK   | RB2-04 kontekst | manglende side: kommandoen avviser
OK   | RB2-04 kontekst | ugyldig side: null private notater
OK   | RB2-04 kontekst | ugyldig side: kommandoen avviser
OK   | RB2-04 kontekst | side som JSON-objekt: null private notater
OK   | RB2-04 kontekst | side som JSON-objekt: kommandoen avviser
OK   | RB2-04 kontekst | tom side: null private notater
OK   | RB2-04 kontekst | tom side: kommandoen avviser
OK   | RB2-04 kontekst | store bokstaver i aktørens UUID normaliseres
OK   | RB2-04 kontekst | aktør som JSON-liste
OK   | RB2-04 kontekst | prosjekt som JSON-objekt
OK   | RB2-04 kontekst | tomt prosjekt
OK   | RB2-04 kontekst | team som JSON-liste
OK   | RB2-04 kontekst | team med bindestreker
OK   | RB2-04 kontekst | ekstra krav ignoreres
OK   | RB2-04 argumenter | NULL forventet versjon avvises med 22023
OK   | RB2-04 argumenter | negativ forventet versjon avvises med 22023
OK   | RB2-04 argumenter | NULL hendelsestype avvises med 22023
OK   | RB2-04 argumenter | data som JSON-liste avvises med 22023
OK   | RB2-04 argumenter | NULL data avvises med 22023
OK   | RB2-04 argumenter | tomt notat avvises med 22023
OK   | RB2-04 argumenter | NULL sak ved opprettelse avvises med 22023
OK   | Gjettet ressurs-ID | notat-ID fra B med A i konteksten gir null rader
OK   | Gjettet ressurs-ID | varsel: sak i B og ukjent sak gir identisk avvisning
OK   | RB2-03 private skrivestier | runtime kan ikke skrive notat direkte
OK   | RB2-03 private skrivestier | runtime kan ikke slette notat direkte
OK   | RB2-03 private skrivestier | notat: sak i B og ukjent sak gir identisk avvisning
OK   | RB2-03 private skrivestier | notat med ukjent team avvises likt
OK   | RB2-03 private skrivestier | skriv_notat lykkes og notatet leses av eget team
OK   | RB2-03 private skrivestier | notatet er stemplet fra konteksten
OK   | RB2-03 private skrivestier | slett_notat gir samme svar for andres, ukjent og annet prosjekts notat
OK   | RB2-03 private skrivestier | andres notater står
OK   | RB2-03 private skrivestier | slett_notat sletter eget notat
OK   | Gjenbrukt forbindelse | authenticator: første transaksjon ser eget notat
OK   | Gjenbrukt forbindelse | authenticator: etter commit er rolle og krav tilbake
OK   | Gjenbrukt forbindelse | authenticator: neste transaksjon uten krav ser null
