node_id,funn_id,opprinnelig_funn_id,kildested,dokumentert_status,påstand,lag_og_backend,strict,raises,forutsetninger,kommando_og_logg,observert_utfall,første_feilsted,målassertion_nådd,bevisstatus,foreslått_tiltak,registrert_status_2026-09-22,kategori_2026-09-22,merknad_2026-09-22
tests/test_approval/test_audit_20260916.py::test_stale_reserved_id_attempt_cannot_delete_successful_creation,AP-04,AP-01,backend/tests/test_approval/test_audit_20260916.py:116-165,Åpen,Et nytt opprettelsesforsøk med samme reserverte sak-ID kan slette metadata for en allerede vellykket opprettet sak dersom versjonskonflikt inntreffer i event-append.,"Service (EndringsordreService), JsonFileEventRepository + Mock SakMetadataRepository",True,AssertionError,"EndringsordreService.opprett_endringsordresak kalles to ganger med samme sak_id, hvor andre forsøk feiler på versjonskonflikt.",pytest -v tests/test_approval/test_audit_20260916.py::test_stale_reserved_id_attempt_cannot_delete_successful_creation --runxfail; docs/vedlegg/testbevis-2026-09-22/01_tests_test_approval_test_audit_20260916__test_stale_reserved_id_attempt_cannot_delete_successful_creation.log,Exit 1. Fails at line 162 with AssertionError: Committed events survive but metadata is deleted.,backend/tests/test_approval/test_audit_20260916.py:162,True,Reprodusert brudd,I EndringsordreService.opprett_endringsordresak: slett aldri metadata uten å verifisere at event-lageret er tomt for den aktuelle sak-IDen.,"Åpen, høy",Åpent funn – reprodusert kjøretidsbrudd,ID rettet fra AP-01 (RTB-01): testens xfail-reason sier AP-04. Samme sak som rad 34. Foreslått tiltak er utilstrekkelig alene (RTB-03); rettingskontrakten er F2 i hovedplanen. Testen mangler raises= (RV-17).
tests/test_security/test_autorisasjon_audit_20260918.py::test_batch_innsending_lekker_internt_notat_i_last_event_at,AUT-03,AUT-03,backend/tests/test_security/test_autorisasjon_audit_20260918.py:317-360,Åpen,Batch-innsending med internt notat oppdaterer metadata last_event_at og lekker eksistensen av notatet til motparten.,"Route (POST /api/events/batch), Mock repos",True,AssertionError,Ruten må akseptere batch med internt_notat og returnere 201 Created.,pytest -v tests/test_security/test_autorisasjon_audit_20260918.py::test_batch_innsending_lekker_internt_notat_i_last_event_at --runxfail; docs/vedlegg/testbevis-2026-09-22/02_tests_test_security_test_autorisasjon_audit_20260918__test_batch_innsending_lekker_internt_notat_i_last_event_at.log,Exit 1. Fails at line 351 on assert response.status_code == 201 fordi ruten returnerer 400 INTERNT_NOTAT_IKKE_I_BATCH.,backend/tests/test_security/test_autorisasjon_audit_20260918.py:351,False,Feiler før målassertion,Testen undersøker en avvisningsrute som allerede nekter internt_notat i batch. Rettes ved å fjerne xfail og konvertere til ordinær test for 400-avvisning.,Lukket for batchruta; testvedlikehold T-1,Lukket eller ikke nåbart – testvedlikehold,Lekkasjen er ikke nåbar: batchruta avviser internt notat med 400 før skriving (783c64d). Føres ikke videre som nåværende funn. Testen forventer 201 og når ikke lekkasjeassertionen.
tests/test_security/test_autorisasjon_audit_20260918.py::test_sak_metadata_csv_repo_mangler_list_by_sakstype,AUT-04,AUT-04,backend/tests/test_security/test_autorisasjon_audit_20260918.py:366-386,Åpen,SakMetadataRepository (CSV) mangler list_by_sakstype; /api/cases?sakstype= krasjer med 500.,"Repository (SakMetadataRepository, CSV)",True,AssertionError,"Attributtsjekk hasattr(repo, ""list_by_sakstype"").",pytest -v tests/test_security/test_autorisasjon_audit_20260918.py::test_sak_metadata_csv_repo_mangler_list_by_sakstype --runxfail; docs/vedlegg/testbevis-2026-09-22/03_tests_test_security_test_autorisasjon_audit_20260918__test_sak_metadata_csv_repo_mangler_list_by_sakstype.log,"Exit 1. Fails at line 383 on assert hasattr(repo, ""list_by_sakstype"").",backend/tests/test_security/test_autorisasjon_audit_20260918.py:383,True,Statisk belegg,Implementer list_by_sakstype på SakMetadataRepository eller saner CSV-metadata-backend.,Åpen,Åpent funn – statisk belegg,Samme mekanisme som rad 32 (TST-01).
tests/test_security/test_database_rls_audit_20260918.py::test_sak_metadata_database_default_hardcodes_oslobygg_fallback,DB-03,DB-03,backend/tests/test_security/test_database_rls_audit_20260918.py:107-133,Lukket,004_projects_table.sql setter hardkodet DEFAULT 'oslobygg' på sak_metadata.prosjekt_id.,Migrasjonsfil / DDL-inspeksjon,True,AssertionError,Filen backend/migrations/004_projects_table.sql må eksistere.,pytest -v tests/test_security/test_database_rls_audit_20260918.py::test_sak_metadata_database_default_hardcodes_oslobygg_fallback --runxfail; docs/vedlegg/testbevis-2026-09-22/04_tests_test_security_test_database_rls_audit_20260918__test_sak_metadata_database_default_hardcodes_oslobygg_fallback.log,Exit 1. Fails at line 119 on assert projects_migration.exists() fordi backend/migrations/ er tømt.,backend/tests/test_security/test_database_rls_audit_20260918.py:119,False,Feiler før målassertion,Testen undersøker slettet filsti. Basen har allerede fått DROP DEFAULT via 20260920053427. Erstatt testen med en katalogspørring mot aktiv PostgreSQL.,Lukket,Lukket eller ikke nåbart – testvedlikehold,DEFAULT droppet i 20260920053427 (katalog 20.09). Testen leser en slettet fil. T-2.
tests/test_security/test_database_rls_audit_20260918.py::test_sak_relations_missing_prosjekt_id_and_foreign_keys,DB-04,DB-04,backend/tests/test_security/test_database_rls_audit_20260918.py:135-166,Delvis utbedret,20260911073700_sak_relations.sql mangler prosjekt_id og REFERENCES sak_metadata(sak_id).,Migrasjonsfil / DDL-inspeksjon,True,AssertionError,Filen 20260911073700_sak_relations.sql må inneholde prosjekt_id.,pytest -v tests/test_security/test_database_rls_audit_20260918.py::test_sak_relations_missing_prosjekt_id_and_foreign_keys --runxfail; docs/vedlegg/testbevis-2026-09-22/05_tests_test_security_test_database_rls_audit_20260918__test_sak_relations_missing_prosjekt_id_and_foreign_keys.log,Exit 1. Fails at line 158 on assert has_project_id. Linje 162 (REFERENCES sak_metadata) nås aldri.,backend/tests/test_security/test_database_rls_audit_20260918.py:158,False,Statisk belegg,"sak_relations fikk prosjekt_id i migrasjon 20260920053427. Skriv ny migrasjon for manglende FK (REFERENCES sak_metadata(sak_id)), og oppdater testen til å verifisere katalogen.",Delvis,Delvis utbedret – testen leser historisk fil,prosjekt_id lagt til i 20260920053427. Fremmednøkler mangler fortsatt i migrasjonskjeden (lest 22.09). Testen feiler på den første fila og beviser ikke dagens skjema. Avhenger av B-01. T-2.
tests/test_security/test_database_rls_audit_20260918.py::test_project_membership_model_role_violates_database_check_constraint,DB-05,DB-05,backend/tests/test_security/test_database_rls_audit_20260918.py:168-202,Åpen,"Modellen ProjectMembership tillater role='viewer', men databasens CHECK-skranke krever admin, member eller observer.",Model / DDL-inspeksjon,True,AssertionError,Tekstsøk i supabase/migrations/20260912150635_catenda_user_sessions.sql.,pytest -v tests/test_security/test_database_rls_audit_20260918.py::test_project_membership_model_role_violates_database_check_constraint --runxfail; docs/vedlegg/testbevis-2026-09-22/06_tests_test_security_test_database_rls_audit_20260918__test_project_membership_model_role_violates_database_check_constraint.log,"Exit 1. Fails at line 198 on assert check_roles == {""admin"", ""member"", ""observer"", ""viewer""}.",backend/tests/test_security/test_database_rls_audit_20260918.py:198,True,Statisk belegg,Avstem rollenavn mellom Pydantic-modell og database-skranke via ny migrasjon eller oppdatert modell.,"Åpen, besluttet 21.09",Åpent funn – statisk belegg,"viewer skal finnes (beslutning 21.09). Tiltaket er å utvide databasens skranke, ikke å fjerne viewer fra modellen."
tests/test_security/test_database_rls_audit_20260918.py::test_sak_bim_links_missing_properties_column_declared_in_model,DB-07,DB-06,backend/tests/test_security/test_database_rls_audit_20260918.py:252-282,Åpen,sak_bim_links i 20260911073800_bim_tables.sql mangler kolonnen properties som er deklarert i Pydantic-modellen SakBimLink.,Model / DDL-inspeksjon,True,AssertionError,Tekstsøk i 20260911073800_bim_tables.sql.,pytest -v tests/test_security/test_database_rls_audit_20260918.py::test_sak_bim_links_missing_properties_column_declared_in_model --runxfail; docs/vedlegg/testbevis-2026-09-22/07_tests_test_security_test_database_rls_audit_20260918__test_sak_bim_links_missing_properties_column_declared_in_model.log,Exit 1. Fails at line 277 on assert has_properties.,backend/tests/test_security/test_database_rls_audit_20260918.py:277,True,Statisk belegg,"Legg til kolonnen properties JSONB i sak_bim_links via ny migrasjon, eller fjern den fra Pydantic-modellen dersom den er ubrukt.",Lukket,Lukket eller ikke nåbart – testvedlikehold,ID rettet fra DB-06: testens reason og auditen sier DB-07. DB-06 (prosjekt_id på journalen) er lukket 20.09. Kolonnen er deklarert i 20260920160000 (lest 22.09) og fantes i basen (19.09); foreslått ny migrasjon er unødvendig. Testen leser bare 20260911073800. T-2.
tests/test_security/test_frontend_kontrakt_audit_20260918.py::test_sak_context_mangler_brukerens_autoriserte_rolle,FE-02,FE-01,backend/tests/test_security/test_frontend_kontrakt_audit_20260918.py:141-177,Åpen,Endepunktet /api/cases/<sak_id>/context mangler autoritativ brukerrolle (user_role / contract_role) for klienten.,"Route (GET /api/cases/<sak_id>/context), Flask test client",True,AssertionError,Kallet må returnere HTTP 200 med gyldig sesjon.,pytest -v tests/test_security/test_frontend_kontrakt_audit_20260918.py::test_sak_context_mangler_brukerens_autoriserte_rolle --runxfail; docs/vedlegg/testbevis-2026-09-22/08_tests_test_security_test_frontend_kontrakt_audit_20260918__test_sak_context_mangler_brukerens_autoriserte_rolle.log,Exit 1. Fails at line 170 on assert response.status_code == 200 (fikk 403 Forbidden). Linje 174 nås aldri.,backend/tests/test_security/test_frontend_kontrakt_audit_20260918.py:170,False,Feiler før målassertion,"Rett test-fixture slik at endepunktet returnerer 200, og verifiser om contract_role returneres i payload.","Åpen, middels",Åpent funn – testen når ikke målassertion,ID rettet fra FE-01: testfila merker testen FE-02; FE-01 (LetterPreviewModal) er lukket 20.09. Testen feiler på autentiseringsforutsetningen i eget oppsett (403) og undersøker ikke kontrakten. Serveren overskriver rollen (19.09). T-3.
tests/test_security/test_godkjenning_fullmakt_audit_20260918.py::test_koe_frist_ny_sluttdato_omgar_fullmakt,GFK-02,GFK-02,backend/tests/test_security/test_godkjenning_fullmakt_audit_20260918.py:90-124,Åpen,"approval_route / exposure() for KOE-brev ignorerer ny_sluttdato i FristResponsData når godkjent_dager=0, slik at 2-årig forlengelse godkjennes med 0 kr eksponering.","Domain / Service (approval_route, approval_authority.py)",True,AssertionError,"item med ny_sluttdato=""2028-12-31"" og godkjent_dager=0.",pytest -v tests/test_security/test_godkjenning_fullmakt_audit_20260918.py::test_koe_frist_ny_sluttdato_omgar_fullmakt --runxfail; docs/vedlegg/testbevis-2026-09-22/09_tests_test_security_test_godkjenning_fullmakt_audit_20260918__test_koe_frist_ny_sluttdato_omgar_fullmakt.log,"Exit 1. Fails at line 121 on assert len(route) > 0 or auth[""amount""] is None.",backend/tests/test_security/test_godkjenning_fullmakt_audit_20260918.py:121,True,Reprodusert brudd,"Oppdater exposure() i approval_authority.py slik at ny_sluttdato krever full godkjenningskjede eller beregner dager mot baseline, analogt med EOApprovalService.","Åpen, høy",Åpent funn – reprodusert kjøretidsbrudd,
tests/test_security/test_godkjenning_fullmakt_audit_20260918.py::test_rv02_reconcile_returnerer_pakke_under_aktiv_utstedelse,RV-02 / GFK-03,RV-02 / GFK-03,backend/tests/test_security/test_godkjenning_fullmakt_audit_20260918.py:131-201,Åpen,reconcile() i EOApprovalService sletter aktiv utstedelses-lease (issuingAttempt) og returnerer godkjent pakke dersom policy endres mens utstedelse pågår.,"Service (EOApprovalService), SQLite",True,AssertionError,"Pakke er godkjent med aktiv issuingAttempt, og policy endres før read() kalles.",pytest -v tests/test_security/test_godkjenning_fullmakt_audit_20260918.py::test_rv02_reconcile_returnerer_pakke_under_aktiv_utstedelse --runxfail; docs/vedlegg/testbevis-2026-09-22/10_tests_test_security_test_godkjenning_fullmakt_audit_20260918__test_rv02_reconcile_returnerer_pakke_under_aktiv_utstedelse.log,"Exit 1. Fails at line 198 on assert pkg.get(""issuingAttempt"") == attempt_id (fikk None, status=returnert).",backend/tests/test_security/test_godkjenning_fullmakt_audit_20260918.py:198,True,Reprodusert brudd,"I EOApprovalService.reconcile(): hopp over pakker som har en aktiv, ikke-utløpt lease (issuingAttempt og gyldig issuingAt).","Åpen, høy",Åpent funn – reprodusert kjøretidsbrudd,Foreslått lease-sjekk i reconcile() er utilstrekkelig alene (RTB-03); rettingskontrakten er F2 i hovedplanen.
